netlist,B0,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,
W0,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W1,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W2,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W3,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W4,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W5,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W6,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W7,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W8,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_IOMUX0<8>,CFG_IOMUX0<7>,CFG_IOMUX0<6>,CFG_IOMUX0<3>,CFG_IOMUX0<1>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W9,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W10,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_IOMUX0<9>,CFG_IOMUX0<4>,CFG_IOMUX0<5>,CFG_IOMUX0<2>,CFG_IOMUX0<0>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W11,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_IOMUX0<19>,CFG_IOMUX0<14>,CFG_IOMUX0<15>,CFG_IOMUX0<12>,CFG_IOMUX0<10>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W12,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W13,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_IOMUX0<18>,CFG_IOMUX0<17>,CFG_IOMUX0<16>,CFG_IOMUX0<13>,CFG_IOMUX0<11>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W14,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_IOMUX0<28>,CFG_IOMUX0<27>,CFG_IOMUX0<26>,CFG_IOMUX0<23>,CFG_IOMUX0<21>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W15,CFG_ENA_REG_MODE<0>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W16,CFG_GCLKDMUX<1>,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_IOMUX0<29>,CFG_IOMUX0<24>,CFG_IOMUX0<25>,CFG_IOMUX0<22>,CFG_IOMUX0<20>,XXXX,CFG_SEAMMUX0<0>,CFG_SEAMMUX0<1>,CFG_SEAMMUX0<2>,CFG_SEAMMUX0<3>,CFG_SEAMMUX0<4>,CFG_SEAMMUX0<5>,XXXX,XXXX,
W17,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_IOMUX1<9>,CFG_IOMUX1<4>,CFG_IOMUX1<5>,CFG_IOMUX1<2>,CFG_IOMUX1<0>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W18,CFG_GCLKDMUX<0>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W19,CFG_ENA_REG_MODE<1>,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_IOMUX1<8>,CFG_IOMUX1<7>,CFG_IOMUX1<6>,CFG_IOMUX1<3>,CFG_IOMUX1<1>,XXXX,CFG_SEAMMUX0<6>,CFG_SEAMMUX0<7>,CFG_SEAMMUX0<8>,CFG_SEAMMUX0<9>,CFG_SEAMMUX0<10>,CFG_SEAMMUX0<11>,XXXX,XXXX,
W20,CFG_INPUTMUX<0>,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_IOMUX1<18>,CFG_IOMUX1<17>,CFG_IOMUX1<16>,CFG_IOMUX1<13>,CFG_IOMUX1<11>,XXXX,CFG_SEAMMUX0<12>,CFG_SEAMMUX0<13>,CFG_SEAMMUX0<14>,CFG_SEAMMUX0<15>,CFG_SEAMMUX0<16>,CFG_SEAMMUX0<17>,XXXX,XXXX,
W21,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W22,CFG_INPUTMUX<1>,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_IOMUX1<19>,CFG_IOMUX1<14>,CFG_IOMUX1<15>,CFG_IOMUX1<12>,CFG_IOMUX1<10>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W23,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_IOMUX1<29>,CFG_IOMUX1<24>,CFG_IOMUX1<25>,CFG_IOMUX1<22>,CFG_IOMUX1<20>,XXXX,CFG_SEAMMUX1<0>,CFG_SEAMMUX1<1>,CFG_SEAMMUX1<2>,CFG_SEAMMUX1<3>,CFG_SEAMMUX1<4>,CFG_SEAMMUX1<5>,XXXX,XXXX,
W24,CFG_GCLKDMUX<3>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_SEAMMUX1<6>,CFG_SEAMMUX1<7>,CFG_SEAMMUX1<8>,CFG_SEAMMUX1<9>,CFG_SEAMMUX1<10>,CFG_SEAMMUX1<11>,XXXX,XXXX,
W25,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_IOMUX1<28>,CFG_IOMUX1<27>,CFG_IOMUX1<26>,CFG_IOMUX1<23>,CFG_IOMUX1<21>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W26,CFG_GCLKDMUX<2>,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_IOMUX2<8>,CFG_IOMUX2<7>,CFG_IOMUX2<6>,CFG_IOMUX2<3>,CFG_IOMUX2<1>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W27,CFG_ENA_REG_MODE<2>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_SEAMMUX1<12>,CFG_SEAMMUX1<13>,CFG_SEAMMUX1<14>,CFG_SEAMMUX1<15>,CFG_SEAMMUX1<16>,CFG_SEAMMUX1<17>,XXXX,XXXX,
W28,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_IOMUX2<9>,CFG_IOMUX2<4>,CFG_IOMUX2<5>,CFG_IOMUX2<2>,CFG_IOMUX2<0>,XXXX,CFG_SEAMMUX2<0>,CFG_SEAMMUX2<1>,CFG_SEAMMUX2<2>,CFG_SEAMMUX2<3>,CFG_SEAMMUX2<4>,CFG_SEAMMUX2<5>,XXXX,XXXX,
W29,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_IOMUX2<19>,CFG_IOMUX2<14>,CFG_IOMUX2<15>,CFG_IOMUX2<12>,CFG_IOMUX2<10>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W30,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
