netlist,B0,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,
W0,CFG_RMUX0<7>,CFG_RMUX0<6>,CFG_RMUX0<4>,CFG_RMUX0<2>,CFG_RMUX0<0>,CFG_RMUX0<20>,CFG_RMUX0<22>,CFG_RMUX0<24>,CFG_RMUX0<26>,CFG_RMUX0<27>,CFG_RMUX0<47>,CFG_RMUX0<46>,CFG_RMUX0<44>,CFG_RMUX0<42>,CFG_RMUX0<40>,CFG_KMUX0<0>,CFG_KMUX0<2>,CFG_KMUX0<4>,CFG_KMUX0<6>,CFG_KMUX0<7>,CFG_KMUX1<7>,CFG_KMUX1<6>,CFG_KMUX1<4>,CFG_KMUX1<2>,CFG_KMUX1<0>,CFG_KMUX0<10>,
W1,CFG_RMUX0<8>,CFG_RMUX0<9>,CFG_RMUX0<5>,CFG_RMUX0<3>,CFG_RMUX0<1>,CFG_RMUX0<21>,CFG_RMUX0<23>,CFG_RMUX0<25>,CFG_RMUX0<29>,CFG_RMUX0<28>,CFG_RMUX0<48>,CFG_RMUX0<49>,CFG_RMUX0<45>,CFG_RMUX0<43>,CFG_RMUX0<41>,CFG_KMUX0<1>,CFG_KMUX0<3>,CFG_KMUX0<5>,CFG_KMUX0<9>,CFG_KMUX0<8>,CFG_KMUX1<8>,CFG_KMUX1<9>,CFG_KMUX1<5>,CFG_KMUX1<3>,CFG_KMUX1<1>,CFG_KMUX1<10>,
W2,CFG_RMUX1<7>,CFG_RMUX1<6>,CFG_RMUX1<4>,CFG_RMUX1<2>,CFG_RMUX1<0>,CFG_RMUX1<20>,CFG_RMUX1<22>,CFG_RMUX1<24>,CFG_RMUX1<26>,CFG_RMUX1<27>,CFG_RMUX1<47>,CFG_RMUX1<46>,CFG_RMUX1<44>,CFG_RMUX1<42>,CFG_RMUX1<40>,CFG_KMUX2<0>,CFG_KMUX2<2>,CFG_KMUX2<4>,CFG_KMUX2<6>,CFG_KMUX2<7>,CFG_KMUX3<7>,CFG_KMUX3<6>,CFG_KMUX3<4>,CFG_KMUX3<2>,CFG_KMUX3<0>,CFG_KMUX2<10>,
W3,CFG_RMUX1<8>,CFG_RMUX1<9>,CFG_RMUX1<5>,CFG_RMUX1<3>,CFG_RMUX1<1>,CFG_RMUX1<21>,CFG_RMUX1<23>,CFG_RMUX1<25>,CFG_RMUX1<29>,CFG_RMUX1<28>,CFG_RMUX1<48>,CFG_RMUX1<49>,CFG_RMUX1<45>,CFG_RMUX1<43>,CFG_RMUX1<41>,CFG_KMUX2<1>,CFG_KMUX2<3>,CFG_KMUX2<5>,CFG_KMUX2<9>,CFG_KMUX2<8>,CFG_KMUX3<8>,CFG_KMUX3<9>,CFG_KMUX3<5>,CFG_KMUX3<3>,CFG_KMUX3<1>,CFG_KMUX3<10>,
W4,CFG_RMUX2<57>,CFG_RMUX2<56>,CFG_RMUX2<54>,CFG_RMUX2<52>,CFG_RMUX2<50>,CFG_RMUX2<10>,CFG_RMUX2<12>,CFG_RMUX2<14>,CFG_RMUX2<16>,CFG_RMUX2<17>,CFG_RMUX2<37>,CFG_RMUX2<36>,CFG_RMUX2<34>,CFG_RMUX2<32>,CFG_RMUX2<30>,CFG_KMUX4<0>,CFG_KMUX4<2>,CFG_KMUX4<4>,CFG_KMUX4<6>,CFG_KMUX4<7>,CFG_KMUX5<7>,CFG_KMUX5<6>,CFG_KMUX5<4>,CFG_KMUX5<2>,CFG_KMUX5<0>,CFG_KMUX4<10>,
W5,CFG_RMUX2<58>,CFG_RMUX2<59>,CFG_RMUX2<55>,CFG_RMUX2<53>,CFG_RMUX2<51>,CFG_RMUX2<11>,CFG_RMUX2<13>,CFG_RMUX2<15>,CFG_RMUX2<19>,CFG_RMUX2<18>,CFG_RMUX2<38>,CFG_RMUX2<39>,CFG_RMUX2<35>,CFG_RMUX2<33>,CFG_RMUX2<31>,CFG_KMUX4<1>,CFG_KMUX4<3>,CFG_KMUX4<5>,CFG_KMUX4<9>,CFG_KMUX4<8>,CFG_KMUX5<8>,CFG_KMUX5<9>,CFG_KMUX5<5>,CFG_KMUX5<3>,CFG_KMUX5<1>,CFG_KMUX5<10>,
W6,CFG_RMUX3<57>,CFG_RMUX3<56>,CFG_RMUX3<54>,CFG_RMUX3<52>,CFG_RMUX3<50>,CFG_RMUX3<10>,CFG_RMUX3<12>,CFG_RMUX3<14>,CFG_RMUX3<16>,CFG_RMUX3<17>,CFG_RMUX3<37>,CFG_RMUX3<36>,CFG_RMUX3<34>,CFG_RMUX3<32>,CFG_RMUX3<30>,CFG_KMUX6<0>,CFG_KMUX6<2>,CFG_KMUX6<4>,CFG_KMUX6<6>,CFG_KMUX6<7>,CFG_KMUX7<7>,CFG_KMUX7<6>,CFG_KMUX7<4>,CFG_KMUX7<2>,CFG_KMUX7<0>,CFG_KMUX6<10>,
W7,CFG_RMUX3<58>,CFG_RMUX3<59>,CFG_RMUX3<55>,CFG_RMUX3<53>,CFG_RMUX3<51>,CFG_RMUX3<11>,CFG_RMUX3<13>,CFG_RMUX3<15>,CFG_RMUX3<19>,CFG_RMUX3<18>,CFG_RMUX3<38>,CFG_RMUX3<39>,CFG_RMUX3<35>,CFG_RMUX3<33>,CFG_RMUX3<31>,CFG_KMUX6<1>,CFG_KMUX6<3>,CFG_KMUX6<5>,CFG_KMUX6<9>,CFG_KMUX6<8>,CFG_KMUX7<8>,CFG_KMUX7<9>,CFG_KMUX7<5>,CFG_KMUX7<3>,CFG_KMUX7<1>,CFG_KMUX7<10>,
W8,CFG_RMUX0<17>,CFG_RMUX0<16>,CFG_RMUX0<14>,CFG_RMUX0<12>,CFG_RMUX0<10>,CFG_RMUX0<30>,CFG_RMUX0<32>,CFG_RMUX0<34>,CFG_RMUX0<36>,CFG_RMUX0<37>,CFG_RMUX0<57>,CFG_RMUX0<56>,CFG_RMUX0<54>,CFG_RMUX0<52>,CFG_RMUX0<50>,CFG_KMUX8<0>,CFG_KMUX8<2>,CFG_KMUX8<4>,CFG_KMUX8<6>,CFG_KMUX8<7>,CFG_KMUX9<7>,CFG_KMUX9<6>,CFG_KMUX9<4>,CFG_KMUX9<2>,CFG_KMUX9<0>,CFG_KMUX8<10>,
W9,CFG_RMUX0<18>,CFG_RMUX0<19>,CFG_RMUX0<15>,CFG_RMUX0<13>,CFG_RMUX0<11>,CFG_RMUX0<31>,CFG_RMUX0<33>,CFG_RMUX0<35>,CFG_RMUX0<39>,CFG_RMUX0<38>,CFG_RMUX0<58>,CFG_RMUX0<59>,CFG_RMUX0<55>,CFG_RMUX0<53>,CFG_RMUX0<51>,CFG_KMUX8<1>,CFG_KMUX8<3>,CFG_KMUX8<5>,CFG_KMUX8<9>,CFG_KMUX8<8>,CFG_KMUX9<8>,CFG_KMUX9<9>,CFG_KMUX9<5>,CFG_KMUX9<3>,CFG_KMUX9<1>,CFG_KMUX9<10>,
W10,CFG_RMUX1<17>,CFG_RMUX1<16>,CFG_RMUX1<14>,CFG_RMUX1<12>,CFG_RMUX1<10>,CFG_RMUX1<30>,CFG_RMUX1<32>,CFG_RMUX1<34>,CFG_RMUX1<36>,CFG_RMUX1<37>,CFG_RMUX1<57>,CFG_RMUX1<56>,CFG_RMUX1<54>,CFG_RMUX1<52>,CFG_RMUX1<50>,CFG_KMUX10<0>,CFG_KMUX10<2>,CFG_KMUX10<4>,CFG_KMUX10<6>,CFG_KMUX10<7>,CFG_KMUX11<7>,CFG_KMUX11<6>,CFG_KMUX11<4>,CFG_KMUX11<2>,CFG_KMUX11<0>,CFG_KMUX10<10>,
W11,CFG_RMUX1<18>,CFG_RMUX1<19>,CFG_RMUX1<15>,CFG_RMUX1<13>,CFG_RMUX1<11>,CFG_RMUX1<31>,CFG_RMUX1<33>,CFG_RMUX1<35>,CFG_RMUX1<39>,CFG_RMUX1<38>,CFG_RMUX1<58>,CFG_RMUX1<59>,CFG_RMUX1<55>,CFG_RMUX1<53>,CFG_RMUX1<51>,CFG_KMUX10<1>,CFG_KMUX10<3>,CFG_KMUX10<5>,CFG_KMUX10<9>,CFG_KMUX10<8>,CFG_KMUX11<8>,CFG_KMUX11<9>,CFG_KMUX11<5>,CFG_KMUX11<3>,CFG_KMUX11<1>,CFG_KMUX11<10>,
