netlist,B0,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,
W0,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_INPUTMUX<0>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W1,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_INPUTMUX<1>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W2,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_INPUTMUX<2>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W3,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_INPUTMUX<3>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W4,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_INPUTMUX<4>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W5,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_INPUTMUX<5>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W6,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_INPUTMUX<6>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W7,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_INPUTMUX<7>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W8,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_INPUTMUX<8>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W9,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_INPUTMUX<9>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W10,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_INPUTMUX<10>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
