netlist,B0,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,
W0,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W1,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W2,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W3,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W4,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W5,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W6,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W7,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W8,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W9,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W10,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W11,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W12,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W13,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W14,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W15,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W16,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W17,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W18,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W19,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W20,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_BBMUXW0<8>,CFG_BBMUXW0<6>,CFG_BBMUXW0<4>,CFG_BBMUXW0<2>,CFG_BBMUXW0<0>,CFG_SEAMMUX<5>,CFG_SEAMMUX<4>,CFG_SEAMMUX<3>,CFG_SEAMMUX<2>,CFG_SEAMMUX<1>,CFG_SEAMMUX<0>,
W21,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_BBMUXW0<7>,CFG_BBMUXW0<5>,CFG_BBMUXW0<3>,CFG_BBMUXW0<1>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W22,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_BBMUXW1<8>,CFG_BBMUXW1<6>,CFG_BBMUXW1<4>,CFG_BBMUXW1<2>,CFG_BBMUXW1<0>,CFG_SEAMMUX<11>,CFG_SEAMMUX<10>,CFG_SEAMMUX<9>,CFG_SEAMMUX<8>,CFG_SEAMMUX<7>,CFG_SEAMMUX<6>,
W23,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_BBMUXW1<7>,CFG_BBMUXW1<5>,CFG_BBMUXW1<3>,CFG_BBMUXW1<1>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W24,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_BBMUXW2<8>,CFG_BBMUXW2<6>,CFG_BBMUXW2<4>,CFG_BBMUXW2<2>,CFG_BBMUXW2<0>,CFG_SEAMMUX<17>,CFG_SEAMMUX<16>,CFG_SEAMMUX<15>,CFG_SEAMMUX<14>,CFG_SEAMMUX<13>,CFG_SEAMMUX<12>,
W25,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_BBMUXW2<7>,CFG_BBMUXW2<5>,CFG_BBMUXW2<3>,CFG_BBMUXW2<1>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W26,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_BBMUXW3<8>,CFG_BBMUXW3<6>,CFG_BBMUXW3<4>,CFG_BBMUXW3<2>,CFG_BBMUXW3<0>,CFG_SEAMMUX<23>,CFG_SEAMMUX<22>,CFG_SEAMMUX<21>,CFG_SEAMMUX<20>,CFG_SEAMMUX<19>,CFG_SEAMMUX<18>,
W27,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_BBMUXW3<7>,CFG_BBMUXW3<5>,CFG_BBMUXW3<3>,CFG_BBMUXW3<1>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W28,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_BBMUXW4<8>,CFG_BBMUXW4<6>,CFG_BBMUXW4<4>,CFG_BBMUXW4<2>,CFG_BBMUXW4<0>,CFG_SEAMMUX<29>,CFG_SEAMMUX<28>,CFG_SEAMMUX<27>,CFG_SEAMMUX<26>,CFG_SEAMMUX<25>,CFG_SEAMMUX<24>,
W29,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_BBMUXW4<7>,CFG_BBMUXW4<5>,CFG_BBMUXW4<3>,CFG_BBMUXW4<1>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W30,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_BBMUXW5<8>,CFG_BBMUXW5<6>,CFG_BBMUXW5<4>,CFG_BBMUXW5<2>,CFG_BBMUXW5<0>,CFG_SEAMMUX<35>,CFG_SEAMMUX<34>,CFG_SEAMMUX<33>,CFG_SEAMMUX<32>,CFG_SEAMMUX<31>,CFG_SEAMMUX<30>,
W31,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_BBMUXW5<7>,CFG_BBMUXW5<5>,CFG_BBMUXW5<3>,CFG_BBMUXW5<1>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W32,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W33,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W34,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
