netlist,B0,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,
W0,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W1,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W2,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W3,CFG_ENA_REG_MODE<0>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W4,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W5,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W6,CFG_GCLKDMUX<1>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W7,CFG_GCLKDMUX<0>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W8,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W9,CFG_ENA_REG_MODE<1>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W10,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W11,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W12,CFG_GCLKDMUX<3>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W13,CFG_GCLKDMUX<2>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W14,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_IOMUX0<8>,CFG_IOMUX0<7>,CFG_IOMUX0<6>,CFG_IOMUX0<3>,CFG_IOMUX0<1>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W15,CFG_ENA_REG_MODE<2>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W16,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_IOMUX0<9>,CFG_IOMUX0<4>,CFG_IOMUX0<5>,CFG_IOMUX0<2>,CFG_IOMUX0<0>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W17,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_IOMUX1<9>,CFG_IOMUX1<4>,CFG_IOMUX1<5>,CFG_IOMUX1<2>,CFG_IOMUX1<0>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W18,CFG_GCLKDMUX<5>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W19,CFG_GCLKDMUX<4>,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_IOMUX1<8>,CFG_IOMUX1<7>,CFG_IOMUX1<6>,CFG_IOMUX1<3>,CFG_IOMUX1<1>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W20,CFG_INPUTMUX<0>,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_IOMUX2<8>,CFG_IOMUX2<7>,CFG_IOMUX2<6>,CFG_IOMUX2<3>,CFG_IOMUX2<1>,XXXX,CFG_SEAMMUX0<0>,CFG_SEAMMUX0<1>,CFG_SEAMMUX0<2>,CFG_SEAMMUX0<3>,CFG_SEAMMUX0<4>,CFG_SEAMMUX0<5>,XXXX,XXXX,
W21,CFG_ENA_REG_MODE<3>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W22,CFG_INPUTMUX<1>,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_IOMUX2<9>,CFG_IOMUX2<4>,CFG_IOMUX2<5>,CFG_IOMUX2<2>,CFG_IOMUX2<0>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W23,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_IOMUX3<9>,CFG_IOMUX3<4>,CFG_IOMUX3<5>,CFG_IOMUX3<2>,CFG_IOMUX3<0>,XXXX,CFG_SEAMMUX1<0>,CFG_SEAMMUX1<1>,CFG_SEAMMUX1<2>,CFG_SEAMMUX1<3>,CFG_SEAMMUX1<4>,CFG_SEAMMUX1<5>,XXXX,XXXX,
W24,CFG_GCLKDMUX<7>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_SEAMMUX2<0>,CFG_SEAMMUX2<1>,CFG_SEAMMUX2<2>,CFG_SEAMMUX2<3>,CFG_SEAMMUX2<4>,CFG_SEAMMUX2<5>,XXXX,XXXX,
W25,CFG_GCLKDMUX<6>,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_IOMUX3<8>,CFG_IOMUX3<7>,CFG_IOMUX3<6>,CFG_IOMUX3<3>,CFG_IOMUX3<1>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W26,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_IOMUX4<8>,CFG_IOMUX4<7>,CFG_IOMUX4<6>,CFG_IOMUX4<3>,CFG_IOMUX4<1>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W27,CFG_ENA_REG_MODE<4>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_SEAMMUX3<0>,CFG_SEAMMUX3<1>,CFG_SEAMMUX3<2>,CFG_SEAMMUX3<3>,CFG_SEAMMUX3<4>,CFG_SEAMMUX3<5>,XXXX,XXXX,
W28,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_IOMUX4<9>,CFG_IOMUX4<4>,CFG_IOMUX4<5>,CFG_IOMUX4<2>,CFG_IOMUX4<0>,XXXX,CFG_SEAMMUX4<0>,CFG_SEAMMUX4<1>,CFG_SEAMMUX4<2>,CFG_SEAMMUX4<3>,CFG_SEAMMUX4<4>,CFG_SEAMMUX4<5>,XXXX,XXXX,
W29,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_IOMUX5<9>,CFG_IOMUX5<4>,CFG_IOMUX5<5>,CFG_IOMUX5<2>,CFG_IOMUX5<0>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W30,CFG_GCLKDMUX<9>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W31,CFG_GCLKDMUX<8>,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_IOMUX5<8>,CFG_IOMUX5<7>,CFG_IOMUX5<6>,CFG_IOMUX5<3>,CFG_IOMUX5<1>,XXXX,CFG_SEAMMUX5<0>,CFG_SEAMMUX5<1>,CFG_SEAMMUX5<2>,CFG_SEAMMUX5<3>,CFG_SEAMMUX5<4>,CFG_SEAMMUX5<5>,XXXX,XXXX,
W32,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
