netlist,B0,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,
W0,CFG_IN_ASYNC_MODE<0>,CFG_IN_SYNC_MODE<0>,XXXX,CFG_INPUTMUX0<0>,XXXX,CFG_IOMUX1<18>,CFG_IOMUX1<16>,CFG_IOMUX1<14>,CFG_IOMUX0<0>,CFG_IOMUX0<2>,CFG_IOMUX0<4>,XXXX,CFG_RMUX4<34>,CFG_RMUX4<32>,CFG_RMUX4<30>,CFG_RMUX4<28>,CFG_RMUX0<0>,CFG_RMUX0<2>,CFG_RMUX0<4>,CFG_RMUX0<6>,
W1,XXXX,CFG_IN_POWERUP<0>,XXXX,XXXX,CFG_IOMUX1<20>,CFG_IOMUX1<19>,CFG_IOMUX1<17>,CFG_IOMUX1<15>,CFG_IOMUX0<1>,CFG_IOMUX0<3>,CFG_IOMUX0<5>,CFG_IOMUX0<6>,XXXX,CFG_RMUX4<33>,CFG_RMUX4<31>,CFG_RMUX4<29>,CFG_RMUX0<1>,CFG_RMUX0<3>,CFG_RMUX0<5>,XXXX,
W2,CFG_OUT_ASYNC_MODE<0>,CFG_OUT_SYNC_MODE<0>,XXXX,CFG_INPUTMUX0<1>,XXXX,CFG_IOMUX1<25>,CFG_IOMUX1<23>,CFG_IOMUX1<21>,CFG_IOMUX0<7>,CFG_IOMUX0<9>,CFG_IOMUX0<11>,XXXX,CFG_RMUX4<41>,CFG_RMUX4<39>,CFG_RMUX4<37>,CFG_RMUX4<35>,CFG_RMUX0<7>,CFG_RMUX0<9>,CFG_RMUX0<11>,CFG_RMUX0<13>,
W3,CFG_OE_REG_MODE<0>,CFG_OUT_POWERUP<0>,XXXX,XXXX,CFG_IOMUX1<27>,CFG_IOMUX1<26>,CFG_IOMUX1<24>,CFG_IOMUX1<22>,CFG_IOMUX0<8>,CFG_IOMUX0<10>,CFG_IOMUX0<12>,CFG_IOMUX0<13>,XXXX,CFG_RMUX4<40>,CFG_RMUX4<38>,CFG_RMUX4<36>,CFG_RMUX0<8>,CFG_RMUX0<10>,CFG_RMUX0<12>,XXXX,
W4,CFG_OE_ASYNC_MODE<0>,CFG_OE_SYNC_MODE<0>,XXXX,XXXX,XXXX,CFG_IOMUX1<32>,CFG_IOMUX1<30>,CFG_IOMUX1<28>,CFG_IOMUX0<14>,CFG_IOMUX0<16>,CFG_IOMUX0<18>,XXXX,CFG_RMUX4<48>,CFG_RMUX4<46>,CFG_RMUX4<44>,CFG_RMUX4<42>,CFG_RMUX0<14>,CFG_RMUX0<16>,CFG_RMUX0<18>,CFG_RMUX0<20>,
W5,CFG_OUT_REG_MODE<0>,CFG_OE_POWERUP<0>,XXXX,XXXX,CFG_IOMUX1<34>,CFG_IOMUX1<33>,CFG_IOMUX1<31>,CFG_IOMUX1<29>,CFG_IOMUX0<15>,CFG_IOMUX0<17>,CFG_IOMUX0<19>,CFG_IOMUX0<20>,XXXX,CFG_RMUX4<47>,CFG_RMUX4<45>,CFG_RMUX4<43>,CFG_RMUX0<15>,CFG_RMUX0<17>,CFG_RMUX0<19>,XXXX,
W6,CFG_INDA_DELAY<1>,CFG_INDA_DELAY<0>,XXXX,XXXX,XXXX,CFG_IOMUX1<39>,CFG_IOMUX1<37>,CFG_IOMUX1<35>,CFG_IOMUX0<21>,CFG_IOMUX0<23>,CFG_IOMUX0<25>,XXXX,CFG_RMUX4<55>,CFG_RMUX4<53>,CFG_RMUX4<51>,CFG_RMUX4<49>,CFG_RMUX0<21>,CFG_RMUX0<23>,CFG_RMUX0<25>,CFG_RMUX0<27>,
W7,CFG_INREG_DELAY<0>,CFG_INDA_DELAY<2>,XXXX,XXXX,CFG_IOMUX1<41>,CFG_IOMUX1<40>,CFG_IOMUX1<38>,CFG_IOMUX1<36>,CFG_IOMUX0<22>,CFG_IOMUX0<24>,CFG_IOMUX0<26>,CFG_IOMUX0<27>,XXXX,CFG_RMUX4<54>,CFG_RMUX4<52>,CFG_RMUX4<50>,CFG_RMUX0<22>,CFG_RMUX0<24>,CFG_RMUX0<26>,XXXX,
W8,CFG_INREG_DELAY<1>,CFG_INREG_DELAY<2>,XXXX,XXXX,XXXX,CFG_IOMUX2<4>,CFG_IOMUX2<2>,CFG_IOMUX2<0>,CFG_IOMUX0<28>,CFG_IOMUX0<30>,CFG_IOMUX0<32>,XXXX,CFG_RMUX5<6>,CFG_RMUX5<4>,CFG_RMUX5<2>,CFG_RMUX5<0>,CFG_RMUX0<28>,CFG_RMUX0<30>,CFG_RMUX0<32>,CFG_RMUX0<34>,
W9,CFG_OUTDELAY<0>,XXXX,XXXX,XXXX,CFG_IOMUX2<6>,CFG_IOMUX2<5>,CFG_IOMUX2<3>,CFG_IOMUX2<1>,CFG_IOMUX0<29>,CFG_IOMUX0<31>,CFG_IOMUX0<33>,CFG_IOMUX0<34>,XXXX,CFG_RMUX5<5>,CFG_RMUX5<3>,CFG_RMUX5<1>,CFG_RMUX0<29>,CFG_RMUX0<31>,CFG_RMUX0<33>,XXXX,
W10,CFG_IN_ASYNC_MODE<1>,CFG_IN_SYNC_MODE<1>,XXXX,CFG_INPUTMUX1<0>,XXXX,CFG_IOMUX2<11>,CFG_IOMUX2<9>,CFG_IOMUX2<7>,CFG_IOMUX0<35>,CFG_IOMUX0<37>,CFG_IOMUX0<39>,XXXX,CFG_RMUX5<13>,CFG_RMUX5<11>,CFG_RMUX5<9>,CFG_RMUX5<7>,CFG_RMUX0<35>,CFG_RMUX0<37>,CFG_RMUX0<39>,CFG_RMUX0<41>,
W11,XXXX,CFG_IN_POWERUP<1>,XXXX,XXXX,CFG_IOMUX2<13>,CFG_IOMUX2<12>,CFG_IOMUX2<10>,CFG_IOMUX2<8>,CFG_IOMUX0<36>,CFG_IOMUX0<38>,CFG_IOMUX0<40>,CFG_IOMUX0<41>,XXXX,CFG_RMUX5<12>,CFG_RMUX5<10>,CFG_RMUX5<8>,CFG_RMUX0<36>,CFG_RMUX0<38>,CFG_RMUX0<40>,XXXX,
W12,CFG_OUT_ASYNC_MODE<1>,CFG_OUT_SYNC_MODE<1>,XXXX,CFG_INPUTMUX1<1>,XXXX,CFG_IOMUX2<18>,CFG_IOMUX2<16>,CFG_IOMUX2<14>,CFG_IOMUX1<0>,CFG_IOMUX1<2>,CFG_IOMUX1<4>,XXXX,CFG_RMUX1<34>,CFG_RMUX1<32>,CFG_RMUX1<30>,CFG_RMUX1<28>,CFG_RMUX0<42>,CFG_RMUX0<44>,CFG_RMUX0<46>,CFG_RMUX0<48>,
W13,CFG_OE_REG_MODE<1>,CFG_OUT_POWERUP<1>,XXXX,XXXX,CFG_IOMUX2<20>,CFG_IOMUX2<19>,CFG_IOMUX2<17>,CFG_IOMUX2<15>,CFG_IOMUX1<1>,CFG_IOMUX1<3>,CFG_IOMUX1<5>,CFG_IOMUX1<6>,XXXX,CFG_RMUX1<33>,CFG_RMUX1<31>,CFG_RMUX1<29>,CFG_RMUX0<43>,CFG_RMUX0<45>,CFG_RMUX0<47>,XXXX,
W14,CFG_OE_ASYNC_MODE<1>,CFG_OE_SYNC_MODE<1>,XXXX,XXXX,XXXX,CFG_IOMUX2<25>,CFG_IOMUX2<23>,CFG_IOMUX2<21>,CFG_IOMUX1<7>,CFG_IOMUX1<9>,CFG_IOMUX1<11>,XXXX,CFG_RMUX1<41>,CFG_RMUX1<39>,CFG_RMUX1<37>,CFG_RMUX1<35>,CFG_RMUX0<49>,CFG_RMUX0<51>,CFG_RMUX0<53>,CFG_RMUX0<55>,
W15,CFG_OUT_REG_MODE<1>,CFG_OE_POWERUP<1>,XXXX,XXXX,CFG_IOMUX2<27>,CFG_IOMUX2<26>,CFG_IOMUX2<24>,CFG_IOMUX2<22>,CFG_IOMUX1<8>,CFG_IOMUX1<10>,CFG_IOMUX1<12>,CFG_IOMUX1<13>,XXXX,CFG_RMUX1<40>,CFG_RMUX1<38>,CFG_RMUX1<36>,CFG_RMUX0<50>,CFG_RMUX0<52>,CFG_RMUX0<54>,XXXX,
W16,CFG_INDA_DELAY<4>,CFG_INDA_DELAY<3>,XXXX,XXXX,XXXX,CFG_CTRLMUX2<4>,CFG_CTRLMUX2<2>,CFG_CTRLMUX2<0>,CFG_CTRLMUX0<0>,CFG_CTRLMUX0<2>,CFG_CTRLMUX0<4>,XXXX,CFG_RMUX1<48>,CFG_RMUX1<46>,CFG_RMUX1<44>,CFG_RMUX1<42>,CFG_RMUX1<0>,CFG_RMUX1<2>,CFG_RMUX1<4>,CFG_RMUX1<6>,
W17,CFG_INREG_DELAY<3>,CFG_INDA_DELAY<5>,XXXX,XXXX,XXXX,CFG_CTRLMUX2<5>,CFG_CTRLMUX2<3>,CFG_CTRLMUX2<1>,CFG_CTRLMUX0<1>,CFG_CTRLMUX0<3>,CFG_CTRLMUX0<5>,XXXX,XXXX,CFG_RMUX1<47>,CFG_RMUX1<45>,CFG_RMUX1<43>,CFG_RMUX1<1>,CFG_RMUX1<3>,CFG_RMUX1<5>,XXXX,
