alta_io_W28_G2_SRAM,B0,B1,B2,B3,B4,B5,
W0,CFG_IOMUX0<9>,CFG_IOMUX0<2>,CFG_SeamMUX<0>,CFG_IOMUX0<0>,CFG_IOMUX0<4>,CFG_IOMUX0<5>,
W1,CFG_InputMUX<0>,XXXX,XXXX,XXXX,XXXX,XXXX,
W2,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W3,CFG_IOMUX0<8>,CFG_IOMUX0<3>,CFG_SeamMUX<1>,CFG_IOMUX0<1>,CFG_IOMUX0<7>,CFG_IOMUX0<6>,
W4,CFG_IOMUX1<9>,CFG_IOMUX1<2>,CFG_SeamMUX<2>,CFG_IOMUX1<0>,CFG_IOMUX1<4>,CFG_IOMUX1<5>,
W5,CFG_InputMUX<1>,XXXX,XXXX,XXXX,XXXX,XXXX,
W6,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W7,CFG_IOMUX1<8>,CFG_IOMUX1<3>,CFG_SeamMUX<3>,CFG_IOMUX1<1>,CFG_IOMUX1<7>,CFG_IOMUX1<6>,
W8,CFG_IOMUX2<9>,CFG_IOMUX2<2>,CFG_SeamMUX<4>,CFG_IOMUX2<0>,CFG_IOMUX2<4>,CFG_IOMUX2<5>,
W9,CFG_InputMUX<2>,XXXX,XXXX,XXXX,XXXX,XXXX,
W10,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W11,CFG_IOMUX2<8>,CFG_IOMUX2<3>,CFG_SeamMUX<5>,CFG_IOMUX2<1>,CFG_IOMUX2<7>,CFG_IOMUX2<6>,
W12,CFG_IOMUX3<9>,CFG_IOMUX3<2>,CFG_SeamMUX<6>,CFG_IOMUX3<0>,CFG_IOMUX3<4>,CFG_IOMUX3<5>,
W13,CFG_InputMUX<3>,XXXX,XXXX,XXXX,XXXX,XXXX,
W14,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W15,CFG_IOMUX3<8>,CFG_IOMUX3<3>,CFG_SeamMUX<7>,CFG_IOMUX3<1>,CFG_IOMUX3<7>,CFG_IOMUX3<6>,
W16,CFG_IOMUX4<9>,CFG_IOMUX4<2>,CFG_SeamMUX<8>,CFG_IOMUX4<0>,CFG_IOMUX4<4>,CFG_IOMUX4<5>,
W17,CFG_InputMUX<4>,XXXX,XXXX,XXXX,XXXX,XXXX,
W18,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W19,CFG_IOMUX4<8>,CFG_IOMUX4<3>,CFG_SeamMUX<9>,CFG_IOMUX4<1>,CFG_IOMUX4<7>,CFG_IOMUX4<6>,
W20,CFG_IOMUX5<9>,CFG_IOMUX5<2>,CFG_SeamMUX<10>,CFG_IOMUX5<0>,CFG_IOMUX5<4>,CFG_IOMUX5<5>,
